label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv
1,10,2,0.2,1,7,7,0.444444,1,0.1,0.111111,0,1,3.12193,0,0,0,0,0,0,0,0,0,0,0,47.4162
1,9,0,0,0,6,6,0,2,0.222222,0.428571,0,1,3.16993,3,0,1,0,0,2,199.667,141.186,0,0,0,2.9386
1,5,1,0.2,1,3,3,0.25,1,0.2,0.25,0,1,2.32193,0,0,0,0,0,0,0,0,0,0,0,2.91754
1,5,2,0.4,1,2,2,0.75,1,0.2,0.25,0,1,1.92193,0,0,0,0,0,0,0,0,0,0,0,19.2755
1,6,2,0.333333,1,3,3,0.8,1,0.166667,0.2,0,1,2.25163,0,0,0,0,0,0,0,0,0,0,0,23.0777
1,7,2,0.285714,2,4,4,0.666667,1,0.142857,0.166667,0,1,2.80735,1,1,1,4,0.9375,1,14399.7,0.471405,0,0,0,66.3817
1,3,1,0.333333,1,1,1,0.5,1,0.333333,0.5,0,1,1.58496,1,1,1,4,0.809531,1,3599.5,0.5,0,0,0,-1.58496
1,15,2,0.133333,2,9,7,0.25,2,0.133333,0.25,0,1,3.50689,0,0,0,0,0,0,0,0,0,0,0,-0.145688
1,9,2,0.222222,2,4,3,0.375,1,0.111111,0.125,2,2,2.72548,2,1,2,2,1,2,799.667,565.45,1,365,0,20.4339
1,9,2,0.222222,2,4,4,0.375,1,0.111111,0.125,2,1,2.9477,2,1,2,2,1,2,799.667,565.45,1,365,0,22.1761
1,8,2,0.25,2,3,3,0.428571,1,0.125,0.142857,2,1,2.75,2,1,2,2,1,2,799.667,565.45,1,365,0,12.2563
1,11,3,0.272727,3,5,5,0.5,1,0.0909091,0.1,2,1,3.27761,2,1,2,2,1,2,799.667,565.45,1,365,0,69.4498
1,12,3,0.25,2,6,5,0.454545,1,0.0833333,0.0909091,2,2,3.08496,2,1,2,2,1,2,799.667,565.45,1,365,0,64.6233
1,11,4,0.363636,3,4,4,0.6,1,0.0909091,0.1,2,1,3.0958,2,1,2,2,1,2,799.667,565.45,1,365,0,40.7194
1,1,0,0,0,0,0,0,1,1,0,0,0,-0,1,1,1,2,1,1,64799.7,30547.5,224,4748,4748,0
1,15,0,0,0,0,0,0,12,0.8,0,3,1,2.3656,0,0,0,0,0,0,0,0,0,366,439,-3.01792
1,7,2,0.285714,2,2,2,0.5,3,0.428571,0.166667,0,1,2.80735,0,0,0,0,0,0,0,0,0,0,0,12.7704
1,5,1,0.2,1,2,2,0.5,2,0.4,0.25,0,1,2.32193,0,0,0,0,0,0,0,0,0,0,0,3.11548
1,4,0,0,0,2,2,0,2,0.5,0.333333,0,1,2,1,0,1,2,1,1,599.667,0.471405,0,0,0,-1.58496
1,10,3,0.3,2,5,4,0.444444,2,0.2,0.111111,0,1,2.92193,1,1,1,2,1,1,14399.7,0.471405,20,0,0,34.5125
1,17,4,0.235294,3,10,8,0.533333,2,0.117647,0.0666667,0,1,3.73452,3,0,1,0,0,2,199.667,141.186,19,4748,1432,74.3633
1,13,1,0.0769231,1,6,5,0.181818,5,0.384615,0.0909091,0,1,3.2389,0,0,0,0,0,0,0,0,497,8036,6244,12.074
1,10,3,0.3,2,4,4,0.625,2,0.2,0.125,0,1,3.12193,2,0,2,0,0,1,299.667,0.471405,0,0,0,21.1757
1,20,1,0.05,1,6,6,0.111111,11,0.55,0.166667,1,1,3.92193,0,0,0,0,0,0,0,0,0,0,0,6.7375
1,20,2,0.1,2,5,5,0.166667,11,0.55,0.166667,1,1,3.88418,0,0,0,0,0,0,0,0,1610,5479,5479,14.685
1,20,1,0.05,1,6,6,0.111111,11,0.55,0.166667,1,1,3.88418,0,0,0,0,0,0,0,0,1610,5479,5479,9.01518
1,12,0,0,0,0,0,0,10,0.833333,0,2,1,1.9183,0,0,0,0,0,0,0,0,0,366,439,-0.754888
1,20,1,0.05,1,6,6,0.111111,11,0.55,0.166667,1,1,4.02193,0,0,0,0,0,0,0,0,1610,5479,5479,10.033
1,20,1,0.05,1,6,5,0.111111,11,0.55,0.166667,1,1,3.88418,0,0,0,0,0,0,0,0,0,5479,5479,0.449959
1,20,1,0.05,1,6,6,0.111111,11,0.55,0.166667,1,1,3.92193,0,0,0,0,0,0,0,0,0,5479,5479,0.681284
1,7,0,0,0,4,2,0,3,0.428571,0.5,0,2,1.55666,0,0,0,0,0,0,0,0,0,0,0,-3.16993
1,8,1,0.125,1,5,5,0.285714,2,0.25,0.142857,0,1,2.75,0,0,0,0,0,0,0,0,0,366,0,27.1369
1,20,2,0.1,2,5,5,0.166667,11,0.55,0.166667,1,1,3.72193,0,0,0,0,0,0,0,0,0,5479,5479,9.01915
1,22,3,0.136364,2,9,8,0.3,8,0.363636,0.15,1,1,4.0958,0,0,0,0,0,0,0,0,0,5479,5479,62.7481
1,30,0,0,0,16,7,0,14,0.466667,0.137931,0,1,3.26958,0,0,0,0,0,0,0,0,0,0,0,20.4924
1,20,1,0.05,1,6,6,0.111111,11,0.55,0.166667,1,1,3.82193,0,0,0,0,0,0,0,0,1610,5479,5479,-0.488641
1,16,3,0.1875,2,5,5,0.285714,7,0.4375,0.214286,0,1,3.1494,0,0,0,0,0,0,0,0,0,2192,2192,41.8415
1,9,0,0,0,0,0,0,9,1,0,0,0,2.50326,0,0,0,0,0,0,0,0,0,0,0,-0.280956
1,20,1,0.05,1,6,5,0.111111,11,0.55,0.166667,1,1,3.92193,0,0,0,0,0,0,0,0,1610,5479,5479,-0.0736033
1,27,5,0.185185,3,4,4,0.24,17,0.62963,0.04,0,2,3.42251,2,0,1,0,0,2,159.667,112.902,0,2557,2158,40.7896
