label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv,n_css_selectors,html_id_class_num,get_html_id_class_rate,n_js_function,js_comparison_average,js_comparison_max,js_comparison_min
0,14,4,0.285714,3,10,7,0.615385,0,0,0,0,1,3.23593,5,2,5,8,0.532311,2,24,25.5082,0,9861,9492,176.403,0,0,0,0,0,0,0
0,4,1,0.25,1,3,3,0.333333,0,0,0,0,1,2,4,5,0,4,0.528296,1,1408.67,1550.56,1396,6940,6178,10.973,0,197,57.6023,2784,3.39592,7.95107,0.139991
0,7,3,0.428571,2,4,3,0.666667,0,0,0,0,1,2.23593,1,1,0,5,0.922145,1,200,141.421,507,10956,8553,52.4341,0,27,16.5644,1319,0.596916,1.31412,0.17226
0,8,4,0.5,1,4,2,1,0,0,0,0,1,1.5,6,1,0,2,1,1,40,28.2843,759,9861,6277,36.7719,0,134,79.7619,9481,3.84491,7.27161,0.514276
0,13,5,0.384615,2,8,6,0.666667,0,0,0,0,1,2.81507,2,1,0,2,1,0,157.667,122.953,658,9496,8785,150.65,0,105,58.9888,1242,6.0693,11.7772,0.361377
0,9,3,0.333333,2,6,6,0.75,0,0,0,0,1,2.9477,2,10,2,6,0.933333,1,149.333,131.996,2822,4749,3276,56.1014,0,244,60.8479,44,0.113869,0.113869,0.113869
0,7,2,0.285714,2,5,5,0.666667,0,0,0,0,1,2.80735,3,5,0,4,0.73945,1,138.333,123.581,33,9862,6801,13.2939,7539,1,50,0,0,0,0
0,9,4,0.444444,4,5,4,0.75,0,0,0,0,1,2.9477,2,1,0,3,0.916667,1,3083.33,640.283,1168,8400,7927,41.1449,467,145,77.1277,6784,1.83387,7.76008,0.143146
0,10,4,0.4,3,6,5,0.555556,0,0,0,0,2,2.92193,1,1,0,2,1,1,400,282.843,188,6209,5433,92.5578,0,86,81.9048,4908,2.92321,5.12959,0.164827
0,4,0,0,0,0,0,0,4,1,0,0,0,1.5,2,0,0,2,1,1,200,141.421,1051,9860,9085,8.10329,28,184,69.697,11661,0.920486,7.55596,-0.392187
0,3,0,0,0,3,3,0,0,0,0,0,1,1.58496,8,5,8,4,0.658739,1,42.6667,24.513,3057,10226,9857,0.736966,0,156,38.4236,6920,2.4644,6.69763,-0.0665274
0,6,3,0.5,3,3,3,0.8,0,0,0,0,1,2.58496,1,2,1,6,0.638371,1,163.667,96.6517,179,12417,12020,36.0059,0,81,82.6531,5195,1.18274,4.04002,-0.382465
0,6,3,0.5,2,3,3,1,0,0,0,0,1,2.25163,3,1,0,10,0.6026,1,40,28.2843,1914,6939,5203,47.2073,0,238,45.7692,834,1.12345,3.23108,0.400636
0,13,4,0.307692,3,9,9,0.666667,0,0,0,0,1,3.54659,4,5,0,4,0.536566,1,203.667,108.996,935,6977,6353,81.5708,0,131,31.4904,886,0.824656,1.31069,0.338619
0,9,5,0.555556,3,4,4,0.875,0,0,0,0,1,2.6416,1,2,1,3,0.944444,1,371.667,168.607,93,6940,6423,75.2548,0,4,66.6667,0,0,0,0
0,6,3,0.5,2,3,3,1,0,0,0,0,1,2.25163,3,1,0,10,0.607161,1,18.6667,3.09121,1353,0,0,47.2073,0,230,47.2279,839,0.736249,3.23687,-0.124092
0,9,3,0.333333,2,6,5,0.5,0,0,0,0,2,2.72548,2,2,0,7,0.67245,1,385.667,427.052,29,10591,10183,83.2135,0,12,92.3077,0,0,0,0
0,3,1,0.333333,1,2,2,1,0,0,0,0,1,1.58496,1,5,1,4,0.947368,1,770,757.496,1834,12420,9292,2.5025,0,126,20.1278,6193,1.22555,7.01015,-0.241129
0,17,7,0.411765,4,10,8,0.625,0,0,0,0,2,3.45482,2,1,2,4,0.933333,1,200,141.421,164,7304,6908,174.494,0,12,12.766,0,0,0,0
0,16,7,0.4375,4,9,7,0.666667,0,0,0,0,2,3.32782,2,1,2,4,0.933333,1,293,9.89949,0,6940,6542,201.657,0,0,0,0,0,0,0
0,5,3,0.6,3,2,2,1,0,0,0,0,1,2.32193,2,2,1,5,0.933333,1,400,282.843,904,8401,8017,35.0549,0,160,79.2079,1201,1.13032,1.13032,1.13032
0,9,2,0.222222,2,6,5,0.375,0,0,0,1,2,2.9477,0,0,0,4,0,0,0,0,0,2922,2552,39.9714,0,0,0,0,0,0,0
